,Pair_ID,Pair_type,Neuron1_ID,Neuron2_ID,Shared_output_prob,Shared_amp_difference,Distance_apart,Neuron1_pial_dist,Neuron2_pial_dist,Neuron1_amplitude,Neuron2_amplitude
7,P 210803_004,IP-OP,OP-derived,IP-derived,0.8333333333333334,153.64165125601133,75.0,325.0,350.0,291.483190617491,38.21009023021997
8,P 210803_004,IP-OP,OP-derived,IP-derived,0.1666666666666666,38.65671165733866,75.0,325.0,350.0,53.53265613190955,79.18474830878027
9,P 210803_004,IP-OP,OP-derived,IP-derived,0.1428571428571428,201.5011985594891,75.0,325.0,350.0,-0.6090292072277755,162.88715114601823
10,P 210803_004,IP-OP,OP-derived,IP-derived,0.25,178.6972736276588,75.0,325.0,350.0,40.05826034318795,2.2533834238320054
11,P 210809_001,IP-OP,OP-derived,IP-derived,0.1666666666666666,186.1135947683016,100.0,275.0,300.0,79.78226471875396,2.869333981498555
12,P 210810_003,IP-OP,IP-derived,OP-derived,0.5,99.04115679700737,50.0,200.0,225.0,30.548754605475892,90.48573286008715
13,P 210810_003,IP-OP,IP-derived,OP-derived,0.8,9.58324775012538,50.0,200.0,225.0,90.43472715865369,99.5374808327537
14,P 210812_001,IP-OP,OP-derived,IP-derived,0.2857142857142857,114.21934829266267,100.0,200.0,225.0,98.78392762554849,26.967625437366692
15,P 210812_001,IP-OP,OP-derived,IP-derived,0.1666666666666666,161.61187835042955,100.0,200.0,225.0,68.49572295576856,7.271393177945355
16,P 210812_001,IP-OP,OP-derived,IP-derived,0.4285714285714285,181.23468592357145,100.0,200.0,225.0,190.95895798390967,9.399472174454708
17,P 210812_001,IP-OP,OP-derived,IP-derived,0.6,69.15369990170936,100.0,200.0,225.0,117.35477025936608,57.05081331941761
18,P 210817_002,IP-OP,OP-derived,IP-derived,0.8571428571428571,117.57569246354956,50.0,160.0,175.0,35.36176809847653,136.24667681488123
19,P 210817_002,IP-OP,OP-derived,IP-derived,0.2857142857142857,170.26802277716598,50.0,160.0,175.0,5.457586750906957,67.96621160604266
20,P 210817_002,IP-OP,OP-derived,IP-derived,0.8571428571428571,166.23022588380476,50.0,160.0,175.0,63.135642453567506,684.700481487682
21,P 210817_002,IP-OP,OP-derived,IP-derived,0.2857142857142857,195.40127389562625,50.0,160.0,175.0,5.908775494779978,508.04011910542096
22,P 210817_002,IP-OP,OP-derived,IP-derived,0.7142857142857143,194.1288292369892,50.0,160.0,175.0,8.584995272335393,576.3065446857315
23,P 211001_001,IP-OP,IP-derived,OP-derived,0.5,189.52670508268451,60.0,275.0,275.0,6.844989049223668,254.58139503576385
24,P 211001_002,IP-OP,OP-derived,IP-derived,0.6,168.01303899398155,40.0,300.0,350.0,88.3361275978328,7.678000422535996
25,P 211001_002,IP-OP,OP-derived,IP-derived,1.0,92.20623846872836,40.0,300.0,350.0,4.291777663753554,1.5832203325166128
26,P 211001_002,IP-OP,OP-derived,IP-derived,0.3333333333333333,143.97052041841619,40.0,300.0,350.0,5.013695584877715,30.779573403654194
27,P 211001_002,IP-OP,OP-derived,IP-derived,0.3333333333333333,94.8668186782874,40.0,300.0,350.0,71.50973954972991,25.49641376418388
28,P 211001_004,IP-OP,IP-derived,OP-derived,0.3333333333333333,182.3136100385825,50.0,400.0,400.0,35.2404524794816,1.6302751683520045
29,P 211001_004,IP-OP,IP-derived,OP-derived,0.4285714285714285,90.752631820519,50.0,400.0,400.0,232.09494286554863,87.20733331652265
