interneuron_type,pyramidal_type,Pair_ID,distance_apart,OP_IPSC_peak,IP_IPSC_peak,OP_pial_dist,IP_pial_dist,bias_index
VIP,IP_OP,P 210210_003,,15.917742490768433,52.62990391254425,,,0.7677857180228557
VIP,IP_OP,P 210214_001,,209.2387496948242,291.8014556884765,,,0.5823912982496994
VIP,IP_OP,P 210214_002,50.0,267.56299896240233,206.9355453491211,320.0,275.0,0.4361141837629354
VIP,IP_OP,P 210214_005,75.0,939.419989013672,166.598193359375,450.0,375.0,0.15062880160064435
VIP,IP_OP,P 210218_001,50.0,110.91792068481443,67.38820972442628,290.0,250.0,0.3779354617239446
VIP,IP_OP,P 210218_003,75.0,265.6475891113281,228.12264709472657,225.0,230.0,0.462001616070534
VIP,IP_OP,P 210218_004,50.0,380.7332000732422,116.34493446350098,,,0.23405763878938224
VIP,IP_OP,P 210219_002,100.0,170.05691375732422,67.47046813964843,250.0,200.0,0.28405343249610565
VIP,IP_OP,P 210221_001,70.0,149.0970016479492,107.86657257080078,400.0,430.0,0.4197737866106083
VIP,IP_OP,P 210221_002,75.0,165.11756591796876,266.04711761474607,200.0,250.0,0.6170429253038755
VIP,IP_OP,P 210221_003,150.0,103.33459396362304,211.05623779296877,,,0.6713180426214626
VIP,IP_OP,P 210222_001,65.0,88.21102905273438,250.3975524902344,200.0,250.0,0.7394896825981933
VIP,IP_OP,P 210222_004,75.0,158.89343770345053,242.17556381225583,,,0.603825184437177
VIP,IP_OP,P 210222_005,80.0,324.79049224853514,185.87771301269527,200.0,260.0,0.3639892029651821
VIP,IP_OP,P 210322_003,100.0,46.58889503479004,105.32051849365234,245.0,260.0,0.6933113363243478
VIP,IP_OP,P 210322_005,15.0,15.05001539654202,13.97588596343994,205.0,195.0,0.4814970529290266
VIP,IP_OP,P 210322_007,15.0,94.63100357055664,54.02729454040527,210.0,220.0,0.3634327530110568
SST,IP_OP,P 201005_002,,409.7856475830078,183.58234252929688,151.0,285.0,0.30939037088022037
SST,IP_OP,P 201005_003,,699.3818206787109,883.2853698730469,,,0.5580992486266877
SST,IP_OP,P 201007_003,85.0,512.9731401231554,303.4567165798611,298.0,271.0,0.3716874316739327
SST,IP_OP,P 201125_001,100.0,510.6995452880859,413.2492713928223,180.0,165.0,0.4472642466033274
SST,IP_OP,P 201125_002,50.0,352.9790208604601,159.66160753038196,160.0,180.0,0.311449383228858
SST,IP_OP,P 201125_003,100.0,314.171484375,93.67525253295898,350.0,300.0,0.2296824862279067
SST,IP_OP,P 201125_004,75.0,355.9298366970486,329.7729322645399,200.0,200.0,0.4809269368474915
SST,IP_OP,P 201127_001,150.0,787.784765625,333.8897003173828,220.0,200.0,0.29767076852985414
SST,IP_OP,P 201127_004,60.0,295.04865112304685,427.8156402587891,200.0,250.0,0.591833965737845
SST,IP_OP,P 201130_002,100.0,396.0095336914063,642.2953430175781,175.0,250.0,0.6185999482670256
SST,IP_OP,P 201130_003,200.0,563.283203125,650.4366251627604,,,0.5359034350459245
SST,IP_OP,P 210416_001,30.0,549.5014099121094,698.8608581542969,150.0,185.0,0.5598221574229134
SST,IP_OP,P 210416_003,35.0,623.4662963867188,519.0506042480469,300.0,275.0,0.45430453060227816
SST,IP_OP,P 210422_001,,523.6178253173828,411.27019958496095,,,0.439913859874204
SST,IP_OP,P 210422_002,100.0,995.7975036621094,559.3330932617188,260.0,275.0,0.35966953152881437
SST,IP_OP,P 210422_003,50.0,307.50865478515624,738.7321044921875,300.0,300.0,0.7060823218189686
SST,IP_OP,P 210422_004,80.0,469.022575378418,352.4132461547852,160.0,175.0,0.4290210347742186
SST,IP_OP,P 210429_003,100.0,532.3370971679688,449.17901306152345,180.0,175.0,0.4576379423425858
SST,IP_OP,P 210501_002,50.0,811.8508911132812,546.4422241210938,240.0,225.0,0.40230066543980425
SST,IP_OP,P 210501_003,50.0,486.7078765869141,855.8232299804688,200.0,220.0,0.6374699444906413
SST,IP_OP,P 210511_002,125.0,197.530810546875,172.0780891418457,160.0,150.0,0.46556803498716454
